,measure_id,measure_name,location_id,location_name.x,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower,val_pop,upper_pop,lower_pop,age_standard_pop_proportion,age_standard_pop_ratio,location_name,age_median
87,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,30,80-84 years,435,Uterine cancer,1,Number,2021,131921.668242872,146701.119427333,111087.143692171,87583056.918491,89948887.7796038,85481848.25,1.09729,1.1,Global,82
88,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,31,85-89 years,435,Uterine cancer,1,Number,2021,64595.1865481035,72369.6637520695,51087.2564028495,45721791.0517717,46852862.726504,44709230.7009568,0.604519,0.6,Global,87
89,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,32,90-94 years,435,Uterine cancer,1,Number,2021,30948.9601797678,35059.502210247,23210.607681684,17889373.591415,18289317.0157285,17518670.986049,0.246663,0.25,Global,92
90,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,235,95+ years,435,Uterine cancer,1,Number,2021,10331.1612701191,11918.5815731253,7424.89214122753,5450308.67493343,5569992.58267677,5337366.13587716,0.0785092,0.08,Global,97
91,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,438,Prostate cancer,1,Number,2021,6009.68858685224,7067.00767467972,4356.52011754345,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59,Global,27
92,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,438,Prostate cancer,1,Number,2021,8120.00252849623,9633.44164325534,5910.77803039842,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32,Global,32
93,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,438,Prostate cancer,1,Number,2021,14689.5739527201,16777.3850905733,11081.3935868732,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83,Global,37
94,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,438,Prostate cancer,1,Number,2021,28988.9356049139,32942.9823590492,22015.1642455102,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15,Global,42
95,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,438,Prostate cancer,1,Number,2021,83607.7511391916,96248.6957489174,68037.9486535369,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51,Global,47
96,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,438,Prostate cancer,1,Number,2021,220636.158015326,249034.182469666,181798.728737334,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91,Global,52
97,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,438,Prostate cancer,1,Number,2021,467431.347753369,520242.384843461,385909.379784702,395728004,407669300.348216,384764582.368839,4.34586,4.35,Global,57
98,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,438,Prostate cancer,1,Number,2021,922939.758204814,1016114.58037103,788972.583177525,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68,Global,62
99,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,18,65-69 years,438,Prostate cancer,1,Number,2021,1287046.62926123,1416756.19946152,1106981.13379393,275842158.522357,284217678.194795,268116931.088218,2.98509,2.99,Global,67
100,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,19,70-74 years,438,Prostate cancer,1,Number,2021,1489614.11613898,1622297.81058149,1293844.93466915,205839220.385999,211972020.164289,200406728.542811,2.26526,2.27,Global,72
101,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,20,75-79 years,438,Prostate cancer,1,Number,2021,1385933.45147982,1516828.61820766,1202283.78301884,131884404.580217,135613447.4,128518633.372437,1.59758,1.6,Global,77
102,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,30,80-84 years,438,Prostate cancer,1,Number,2021,1107129.2370106,1209880.31687406,969271.338836751,87583056.918491,89948887.7796038,85481848.25,1.09729,1.1,Global,82
103,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,31,85-89 years,438,Prostate cancer,1,Number,2021,706175.539610564,775259.589088795,604337.733795955,45721791.0517717,46852862.726504,44709230.7009568,0.604519,0.6,Global,87
104,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,32,90-94 years,438,Prostate cancer,1,Number,2021,322842.236178797,352465.906309694,275998.086865752,17889373.591415,18289317.0157285,17518670.986049,0.246663,0.25,Global,92
105,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,235,95+ years,438,Prostate cancer,1,Number,2021,86048.1349775494,96245.1381723588,66440.6282354421,5450308.67493343,5569992.58267677,5337366.13587716,0.0785092,0.08,Global,97
106,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,10,25-29 years,441,Colon and rectum cancer,1,Number,2021,212606.671477791,232315.084051657,192193.530622876,588343218.626762,607422118.669863,570487097.318648,7.59144,7.59,Global,27
107,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,11,30-34 years,441,Colon and rectum cancer,1,Number,2021,461224.477099449,505636.195971859,417838.83832701,604480174.775885,623603836.164416,586195014.793618,7.32171,7.32,Global,32
108,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,12,35-39 years,441,Colon and rectum cancer,1,Number,2021,682397.032463855,741668.253318037,619267.085330518,560866105.914554,578297964.608428,544251815.345755,6.82805,6.83,Global,37
109,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,13,40-44 years,441,Colon and rectum cancer,1,Number,2021,967340.826617518,1050190.47162693,881842.597750286,500250795.605694,515432478.206861,485928430.82182,6.14735,6.15,Global,42
110,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,14,45-49 years,441,Colon and rectum cancer,1,Number,2021,1496577.9384642,1643545.66543356,1365348.54338521,473504625.903218,487919674.240222,460213135.719539,5.51133,5.51,Global,47
111,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,15,50-54 years,441,Colon and rectum cancer,1,Number,2021,2222088.39304282,2438521.96050614,2026465.66863279,444922982.841121,458714304.258768,432300957.286386,4.91312,4.91,Global,52
112,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,16,55-59 years,441,Colon and rectum cancer,1,Number,2021,2828550.78180384,3073164.3258674,2600892.79296429,395728004,407669300.348216,384764582.368839,4.34586,4.35,Global,57
113,2,DALYs (Disability-Adjusted Life Years),1,Global,3,Both,17,60-64 years,441,Colon and rectum cancer,1,Number,2021,3098442.877,3338371.64481292,2901131.51711627,320047853.312832,329387624.27068,311524379.587396,3.68223,3.68,Global,62
